channel_id,title,description,subs,video_count,view_count,uploads_playlist,avg_recent_views,engagement_rate,score
UCQkyTaQD9iAlIZReBm5wSHg,Freedom Influencer,"Welcome to Freedom Influencer!

This channel is all about empowering you to create financial freedom through online entrepreneurship, digital marketing, and personal development. Whether you're looking to build passive income, grow your social media influence, or turn your passion into a thriving online business, Freedom Influencer has the tools, strategies, and mindset tips you need to succeed.

From step-by-step tutorials on affiliate marketing, creating digital products, and mastering social media, to motivation and success stories, we’re here to help you break free from the 9-5 and live life on your own terms.

Join our community of aspiring entrepreneurs, digital marketers, and influencers who are taking action and building their dream lives today. Subscribe for regular content that inspires, educates, and motivates you on your journey to freedom!
",382000,37,66209,UUQkyTaQD9iAlIZReBm5wSHg,1672.1,0.0617,192.286
UCiqcQq3JoD7zLYEugmfoXeg,Influencer Marketing Hub,"Influencer Marketing Hub is the leading resource for Social Media Influencers, Influencer Marketing Platforms and Influencer Marketing Agency Case Studies",42100,102,810670,UUiqcQq3JoD7zLYEugmfoXeg,6008.7,0.0243,23.696
UCPo1m8mU9so3R-4J9L1D00Q,aspireio,"Aspire is the leader in influencer marketing - connecting brands with creators, ambassadors, customers, and more.

It’s no longer just traditional social media influencers who can generate buzz. Aspire helps brands drive explosive business growth by building relationships with, and measuring the impact, that creators, affiliates, customers, fans, and more can have on their business.
",542,25,378166,UUPo1m8mU9so3R-4J9L1D00Q,33794.8,0.0004,13.793
UC_r46_UgBvaG2k94LDjEIWQ,Flytant,Connecting Brands and Influencers,2310,51,687306,UU_r46_UgBvaG2k94LDjEIWQ,15414.7,0.0028,7.349
UCjwfcrqkTp2yMXril6LsJWA,Influencer Marketing,"

",6,29,90,UUjwfcrqkTp2yMXril6LsJWA,0.6,0.6667,6.67
UCT-3pHQHoSz8zw7bCZxMcRQ,GRIN,"GRIN is the pioneer behind the world’s first Creator Management platform, designed for the next generation of brands who recognize that, in the creator economy, authenticity is everything. Our platform supports every brand’s journey, connecting with consumers through authentic creator relationships, and is listed #1 across all top review sites.",12800,178,1099324,UUT-3pHQHoSz8zw7bCZxMcRQ,176.6,0.004,6.51
UC57vebdvLJII9Plo8iCyK1g,IMAI - Influencer Marketing AI,"Welcome to the official YouTube channel of InfluencerMarketing.ai, your top destination for exceptional influencer marketing solutions!

🚀 Key Features:
- Discover and connect with over 300 million influencers.
- Detailed audience analysis for precise influencer selection.
- AI-driven communication tools for efficient collaborations.
- Advanced campaign tracking and real-time sales reporting.

💡 Benefits:
- Achieve better planning and ROI in your marketing efforts.
- Save time with streamlined influencer management.
- Gain insightful data for informed decision-making.
- Subscribe for tips, updates, and success stories in influencer marketing. 

Transform your strategy with InfluencerMarketing.ai!

👉 Visit: https://influencermarketing.ai
",68,78,197970,UU57vebdvLJII9Plo8iCyK1g,11107.2,0.0001,4.478
UCcgKCk-YqsbT8eVM2W06d1Q,Influencity · Influencer Marketing,"The most complete AI-powered Influencer Marketing platform for worldwide brands and agencies, with a full stack of solutions to manage and optimize influencer campaigns at scale.

More than 2,000 happy customers in 60 countries trust us. It is the platform of choice for companies like Johnson & Johnson, Nestlé, Havas Media, Samsung, Ogilvy, and others.
",6470,105,359172,UUcgKCk-YqsbT8eVM2W06d1Q,1313.7,0.0202,3.963
UC_7yjB1S-tS-EqIEB6jTIMA,Goat,"Goat is the world's leading social media and influencer marketing agency.

Follow us for news, inspiration and interviews from within the world of social media advertising, as well as our famous Goat Vlogs that give a unique view into life at an influencer marketing agency. 

To get in touch with us, head to our website at www.goatagency.com. 

Thank you and enjoy!

- The Goat Team",5790,833,614032,UU_7yjB1S-tS-EqIEB6jTIMA,931.2,0.0055,3.322
UCFVrMvnl4GGP_wqH87SaRHw,Influencer Marketing,MySuckLife,259,178,327370,UUFVrMvnl4GGP_wqH87SaRHw,7671.0,0.0022,3.22
UCw_gfFJpijVzP1f3q9nYvsw,Dennis White,This Is My YouTube Channel. My Goal Of This Is To Help Other Teenage Entrepreneurs On Their Journey With Real Practical Steps!,1800,18,38033,UUw_gfFJpijVzP1f3q9nYvsw,2568.3,0.0508,2.435
UCqVvY8JOef8K2fngefNN-hQ,Johnny Lawrence,"Leader of the Cobra Kai Crew (Bobby, Tommy, Jimmy, and Dutch)

",0,22,68,UUqVvY8JOef8K2fngefNN-hQ,4.7,0.234,2.342
UCGfvkr9jSjsDlHsaOqkIFYg,Noa Bucco,"Hi, I’m Noa Bučko, a 21-year-old influencer manager with over 5 years of experience in the business and around 3 years in influencer marketing. I’ve tried my hand at a variety of ventures, but I’ve truly found my passion in influencer marketing. So far, I’ve worked with over 200 influencers and collaborated with 70+ brands, building successful partnerships and campaigns that drive real results.

On this channel, I’ll share everything I’ve learned about working with influencers, growing digital brands, and navigating the ever-evolving social media landscape. Whether you’re a brand looking to make an impact or an influencer trying to level up, I’ll provide the tips, strategies, and insights you need to succeed.

Join me as we dive into the world of influencer marketing and reshape the way brands and creators connect. Don’t forget to subscribe for regular updates, success stories, and more!
",924,36,36964,UUGfvkr9jSjsDlHsaOqkIFYg,1498.3,0.0641,1.702
UCp2y-_CncamPtVYK8Gm41HA,IZEA,"We are Influencer Marketing. #ChampionTheCreators

Influencer marketing software and service solutions trusted by the biggest brands in the industry
",2650,288,3364421,UUp2y-_CncamPtVYK8Gm41HA,259.5,0.0042,1.471
UCiMuxal2a2aeuZExkPZws-A,IMA Influencer Marketing Agency,"IMA is a full service influencer marketing agency. Our in-house team of specialists includes strategists, producers, influencer project managers, designers, developers, digital marketing analysts and social media experts to support your brand from defining goals and objectives to complete campaign execution. Have a look at some of our work.",864,197,1160958,UUiMuxal2a2aeuZExkPZws-A,2149.5,0.0049,1.341
UCpbr_FVXi75B0UHBcwB62Cw,Collabuzz - Influencer Marketing Platform,"Welcome to Collabuzz! 🌟

At Collabuzz, we’re revolutionizing influencer marketing! Our platform connects brands with the right influencers to create authentic partnerships that drive engagement and growth.

Join us as we share:

Expert Insights: Tips and strategies for successful influencer marketing.

Case Studies: Real-life success stories from brands and influencers who have thrived with Collabuzz.

Industry Trends: Stay updated with the latest trends and innovations in the influencer marketing space.

Behind-the-Scenes: A look at our startup journey, team dynamics, and how we’re building a community.

Whether you’re a brand looking to expand your reach or an influencer seeking collaboration opportunities, our channel is your go-to resource for all things influencer marketing.

Subscribe now and let’s build impactful collaborations together!
",11,12,177,UUpbr_FVXi75B0UHBcwB62Cw,15.3,0.1307,1.319
UC2dxJx0xEMUpP8xrLbfmtTA,Narrators Asia Influencer Marketing Platform,,39,10,31739,UU2dxJx0xEMUpP8xrLbfmtTA,3174.2,0.001,1.299
UCtyfWxy-slw2PzLXmuGZ7bg,Digital Voices,"Driving Growth for Brands Through the Power of Influence.

We are Digital Voices, a global Influencer Marketing agency. We run campaigns for clients like Unilever, Diageo, Meta, Adobe, Pinterest and Duolingo. 

Check out our podcast, Creator: Behind the Influence. We sit down with the world's top content creators to reveal the truth behind becoming an influencer… 

Join us for monthly episodes with some of the biggest names in the game!

🏆 Influencer Marketing Agency of the Year 2022

Instagram: https://www.instagram.com/digitalvoicesglobal/
Linkedin: https://www.linkedin.com/company/digitalvoices/
Twitter: https://twitter.com/digitalvoicesuk
Facebook: https://www.facebook.com/digitalvoicesuk/


If you have any questions about Influencer Marketing, feel free to get in touch - hello@digitalvoices.com",1130,178,377924,UUtyfWxy-slw2PzLXmuGZ7bg,39.6,0.0707,1.288
UCpIPIhsVd71a14dGr8rpc6g,Yaaz Connects,"Md Yaaz here —
I'm a 19-year-old helping brands get real results with influencer marketing.
Now I’m documenting my journey from bootstrapped and giving you all the sauce so you can do it too.
",50,8,1053,UUpIPIhsVd71a14dGr8rpc6g,151.86,0.1072,1.158
UCD6nTLSM0jLqA9Khpu8gF5g,Influencer Marketing,"Gizartea sumatzeko era asko aldatu da eta enpresek egoera aprobetxatzen jakin dute. Influencerretan eta Marketinean interesa baduzu, hau da zure lekua.",3,2,89,UUD6nTLSM0jLqA9Khpu8gF5g,44.5,0.1124,1.143
UCNdfQGAturxtw7pYvAxKq2g,Kofluence ,"Think Influence, Think Kofluence!

Kofluence empowers brands and influencers through data-driven influencer marketing, social listening, creator discovery, workflow management and reporting. Automate and simplify your campaigns with our platform for every part of your creator workflow.
",932,98,87913,UUNdfQGAturxtw7pYvAxKq2g,567.2,0.0277,0.97
UChCwo_Lrp1pljzDhevETeGw,GryNow Influencer Marketing,"Grynow.in is a marketplace that connects video creators with marketers who want to sponsor their content. ""On Grynow, we’ve reversed the manual process of influencer marketing in that rather than going to different social media channels to try and find influencers manually, brands simply post a request for content, indicate the social media channels they want content for (YouTube, Twitter, Instagram and Facebook) and influencers who are interested in the opportunity send proposals and creative ideas to the brands.And we help brands in everything from making a creative video to upload and give them analysis of how much engagement,clicks and sales you get through your campaign. As a result, brands don’t need to go through an agent or reach out to influencers individually. Grynow saves brands a great deal of time and effort.""",687,41,22188,UUhCwo_Lrp1pljzDhevETeGw,566.7,0.0388,0.958
